"pha","H","e","a","q","i","moid"
N,26.73,0.4277,1.284,0.735,7.34,0.000637
N,24.10,0.6373,1.983,0.719,3.54,0.0573
N,21.86,0.4752,2.475,1.299,19.24,0.468
N,26.90,0.3174,1.342,0.916,6.16,0.000555
N,24.07,0.4933,2.34,1.186,6.36,0.188
N,20.05,0.7418,1.814,0.468,12.34,0.199
N,24.70,0.2766,1.416,1.024,5.74,0.0395
N,21.40,0.3835,1.5,0.925,8.35,0.0817
N,20.59,0.6866,1.161,0.364,12.48,0.127
N,25.60,0.4333,1.757,0.996,11.40,0.0371
N,25.88,0.8122,2.571,0.483,1.73,0.00137
N,20.70,0.4701,2.107,1.116,5.60,0.13
N,27.30,0.1701,1.276,1.059,1.46,0.0586
N,25.70,0.2715,1.303,0.950,3.57,0.0144
N,21.90,0.2832,1.76,1.261,17.72,0.426
N,22.60,0.4672,1.732,0.923,17.52,0.081
N,22.11,0.5206,2.034,0.975,8.87,0.00809
N,28.44,0.2729,0.8589,0.625,1.94,5.84e-05
N,27.90,0.6526,2.765,0.961,6.84,0.0048
N,27.59,0.3035,1.241,0.865,2.69,0.000959
N,23.20,0.4819,2.277,1.180,2.25,0.19
N,25.54,0.4788,1.343,0.700,3.37,0.000846
N,24.50,0.3364,1.577,1.047,13.45,0.0555
N,26.70,0.4482,1.757,0.969,2.35,0.0141
N,24.50,0.6137,2.438,0.942,5.24,0.00432
N,24.20,0.6297,2.156,0.799,4.11,0.00159
N,26.80,0.2857,1.444,1.032,9.02,0.0417
N,27.13,0.4352,1.421,0.802,2.44,0.00606
N,23.75,0.3934,1.834,1.113,30.47,0.227
N,26.20,0.5339,2.279,1.062,3.66,0.0652
N,24.10,0.5299,2.49,1.171,3.83,0.184
N,24.03,0.4139,1.603,0.940,7.85,0.0546
N,26.90,0.5150,1.255,0.609,5.76,0.0128
N,27.90,0.4408,1.31,0.733,5.82,0.00906
N,27.20,0.5665,1.82,0.789,2.90,0.000303
N,27.33,0.5993,2.608,1.045,1.72,0.0502
N,28.81,0.4070,1.565,0.928,1.51,0.00189
N,27.40,0.4843,1.834,0.946,1.71,0.00219
N,27.30,0.2515,1.359,1.017,14.71,0.0263
N,31.14,0.3187,1.215,0.827,1.92,0.000249
N,29.00,0.2530,1.11,0.829,0.82,0.00241
N,22.10,0.2399,1.066,0.810,44.05,0.167
N,24.30,0.7327,2.285,0.611,1.94,0.0132
N,24.60,0.4074,1.653,0.979,10.77,0.00861
N,24.70,0.1562,1.202,1.014,28.56,0.0555
N,25.30,0.3972,1.393,0.840,4.04,0.0141
N,25.70,0.5935,2.459,1.000,0.21,0.00336
N,22.76,0.2763,1.503,1.088,18.10,0.191
N,25.40,0.1751,1.136,0.937,11.43,0.0687
N,25.50,0.3510,1.42,0.921,7.25,0.00462
N,20.25,0.6951,1.769,0.540,16.73,0.245
N,25.80,0.5901,1.798,0.737,6.12,0.0232
N,25.40,0.3148,0.8719,0.597,11.16,0.0057
N,22.30,0.4984,2.453,1.231,49.90,0.233
N,25.60,0.2693,1.198,0.876,30.90,0.0381
N,22.80,0.3024,1.358,0.948,44.14,0.0523
N,25.50,0.3857,1.581,0.971,2.53,0.03
N,25.09,0.3372,1.572,1.042,2.66,0.0661
N,24.20,0.2371,1.464,1.117,12.57,0.137
N,28.50,0.4293,1.323,0.755,3.22,0.00116
N,20.15,0.6481,1.343,0.473,16.83,0.0799
N,24.00,0.3477,1.447,0.944,20.61,0.0474
N,26.00,0.5344,2.235,1.040,7.71,0.0629
N,26.00,0.0895,1.052,0.958,16.79,0.0116
N,22.50,0.1438,1.428,1.223,45.96,0.245
N,27.60,0.4210,1.688,0.977,1.53,0.00816
N,22.60,0.5904,2.986,1.223,20.44,0.247
N,24.90,0.4877,1.901,0.974,9.73,0.0217
N,26.60,0.2104,0.8779,0.693,2.48,0.00962
Y,21.76,0.3057,1.13,0.784,3.07,0.041
N,21.58,0.5201,2.598,1.247,8.49,0.296
N,23.40,0.3022,1.647,1.149,9.25,0.172
N,23.85,0.5804,2.552,1.071,3.05,0.0974
N,26.95,0.5527,2.219,0.993,1.14,0.00012
N,28.80,0.4671,1.806,0.963,1.69,0.00227
N,27.10,0.1233,0.9594,0.841,2.62,0.0259
N,22.50,0.5372,2.447,1.133,8.79,0.178
N,21.80,0.3240,1.799,1.216,12.73,0.217
N,21.80,0.8548,2.354,0.342,9.16,0.102
N,25.50,0.3094,1.46,1.009,5.25,0.0294
N,23.70,0.3191,1.516,1.032,1.64,0.0313
N,25.80,0.4145,1.637,0.959,9.95,0.0136
N,24.34,0.2507,1.402,1.050,22.88,0.0555
N,25.00,0.4439,1.831,1.018,2.47,0.052
N,25.00,0.1856,1.156,0.941,6.86,0.00466
N,23.40,0.3253,1.418,0.957,15.96,0.0444
N,27.20,0.3953,1.507,0.911,17.84,0.0131
N,27.10,0.4817,1.796,0.931,3.03,0.0041
N,26.70,0.2390,0.9077,0.691,0.65,0.00734
N,28.38,0.5741,0.967,0.412,27.49,0.000473
N,27.10,0.4968,1.98,0.996,0.73,0.00351
N,27.50,0.6061,2.335,0.920,1.83,0.0055
N,23.22,0.3226,1.207,0.818,10.39,0.00263
N,24.34,0.2229,1.151,0.894,12.00,0.0417
N,24.43,0.1937,1.04,0.838,10.66,0.0286
N,28.22,0.6067,1.825,0.718,9.75,0.00115
N,17.56,0.7083,2.757,0.804,49.11,0.185
N,24.12,0.5317,2.059,0.964,2.90,0.00867
N,24.90,0.3439,1.569,1.030,22.79,0.0597
N,26.10,0.2172,1.319,1.032,15.14,0.0566
N,25.40,0.3186,0.9294,0.633,28.52,0.0358
N,21.23,0.6766,2.962,0.958,9.27,0.0668
N,22.80,0.4496,2.288,1.259,8.65,0.289
N,22.40,0.4941,2.404,1.216,18.48,0.22
N,24.70,0.3537,1.094,0.707,23.95,0.0318
N,25.80,0.1819,1.233,1.009,19.92,0.0358
N,20.33,0.5799,2.167,0.910,20.38,0.064
N,26.00,0.5773,2.442,1.032,1.20,0.0395
N,26.40,0.4895,1.994,1.018,8.47,0.0241
N,26.09,0.2980,0.9594,0.673,0.61,0.00454
N,26.74,0.4937,1.964,0.994,4.91,0.00988
N,23.53,0.3701,0.928,0.585,3.81,0.0129
N,24.60,0.3758,1.649,1.029,8.42,0.0438
N,21.54,0.2739,1.577,1.145,31.74,0.3
N,26.90,0.4762,1.888,0.989,7.26,0.0163
N,26.89,0.4795,1.854,0.965,15.43,0.0198
N,22.79,0.2579,1.346,0.999,30.40,0.0212
N,28.00,0.4947,1.891,0.956,2.16,0.00535
N,28.64,0.0915,0.9736,0.885,1.46,0.00259
N,23.46,0.1901,1.046,0.847,17.75,0.0391
Y,20.33,0.5456,2.268,1.030,10.46,0.0132
N,20.09,0.5563,2.68,1.189,11.18,0.219
N,25.80,0.5405,2.286,1.051,10.78,0.0543
N,28.22,0.5517,1.124,0.504,0.49,0.00121
N,26.80,0.4928,1.688,0.856,4.50,0.00425
N,25.70,0.5200,1.663,0.798,9.23,0.043
N,20.79,0.2792,1.707,1.230,28.12,0.396
N,25.74,0.4641,1.817,0.973,0.53,0.00062
N,25.00,0.6319,2.746,1.011,1.53,0.00643
N,24.30,0.3177,1.117,0.762,8.32,0.0592
N,25.11,0.1477,1.143,0.974,5.23,0.0449
N,23.02,0.1565,1.355,1.143,26.02,0.152
N,25.70,0.6086,1.867,0.731,20.96,0.0361
N,24.60,0.2529,1.493,1.116,5.07,0.133
N,24.20,0.3517,1.753,1.136,3.88,0.153
N,21.16,0.4624,1.751,0.941,13.63,0.14
N,25.10,0.4321,1.924,1.093,9.36,0.098
N,26.00,0.5595,0.6834,0.301,9.22,0.0255
N,26.90,0.5068,1.94,0.957,3.86,0.0142
N,27.30,0.1220,1.135,0.997,16.18,0.0133
N,22.49,0.1785,1.24,1.019,17.49,0.0411
N,21.46,0.1362,1.263,1.091,36.85,0.0857
N,25.90,0.1995,1.232,0.986,8.01,0.0464
N,25.50,0.0818,1.121,1.030,19.31,0.0921
N,22.51,0.2578,1.277,0.948,19.98,0.063
N,25.80,0.5018,2.15,1.071,1.65,0.0846
N,24.45,0.1418,1.28,1.099,28.31,0.179
N,23.50,0.3634,1.776,1.130,12.79,0.145
N,22.46,0.3925,1.228,0.746,17.91,0.00477
N,24.00,0.4726,2.094,1.104,28.02,0.112
N,20.68,0.4162,2.201,1.285,7.75,0.296
N,24.18,0.3541,0.9708,0.627,24.70,0.0963
N,27.44,0.2817,1.368,0.983,10.94,0.0232
N,25.40,0.6172,2.437,0.933,4.70,0.00928
N,22.80,0.6122,2.716,1.053,19.68,0.0626
N,27.40,0.5849,2.352,0.977,6.58,0.00449
N,22.17,0.1607,1.346,1.130,36.22,0.18
N,22.71,0.7607,2.348,0.562,4.52,0.00298
Y,20.83,0.4908,1.779,0.906,8.10,0.0469
N,20.80,0.5590,2.8,1.235,9.31,0.248
N,23.18,0.2189,1.628,1.272,5.39,0.289
N,23.99,0.6169,2.263,0.867,2.53,0.00133
N,27.57,0.4310,1.731,0.985,2.76,0.00987
Y,21.90,0.7974,1.707,0.346,5.76,0.0294
N,21.68,0.5455,1.956,0.889,12.01,0.0551
N,20.20,0.7096,3.304,0.960,26.04,0.0656
N,24.74,0.0945,1.125,1.018,1.97,0.0444
N,19.43,0.4652,2.007,1.073,17.24,0.254
N,25.80,0.1891,1.078,0.874,7.28,0.00394
N,25.20,0.5247,2.134,1.014,2.31,0.0433
N,19.87,0.5338,2.751,1.283,8.27,0.326
N,23.38,0.2900,1.385,0.983,10.15,0.0986
N,22.80,0.2531,1.698,1.268,9.53,0.304
N,27.40,0.5690,2.31,0.996,0.33,0.0056
N,20.79,0.6073,2.767,1.087,18.01,0.0983
N,23.10,0.1735,0.932,0.770,27.99,0.0729
N,25.10,0.4786,1.577,0.823,4.85,0.0331
N,23.10,0.4549,1.867,1.018,3.41,0.0545
N,24.10,0.3066,0.846,0.587,16.80,0.0801
N,26.30,0.3749,1.598,0.999,13.15,0.0116
N,28.50,0.1871,0.8661,0.704,2.30,0.00504
N,25.30,0.4992,1.752,0.877,21.80,0.0415
N,27.76,0.6594,1.701,0.579,1.44,0.0013
N,25.12,0.0799,0.9884,0.909,5.59,0.0531
N,26.70,0.2439,1.333,1.008,1.80,0.0181
N,22.82,0.1585,1.347,1.133,25.25,0.14
N,22.90,0.3547,1.699,1.096,31.99,0.133
N,24.40,0.5903,2.5,1.024,5.25,0.0325
N,25.00,0.1734,1.284,1.061,23.90,0.0821
N,24.10,0.4485,1.976,1.090,8.95,0.106
N,27.40,0.4737,1.894,0.997,3.56,0.0145
N,25.15,0.3843,1.675,1.031,4.13,0.0479
N,26.10,0.6063,2.245,0.884,1.52,0.0013
N,27.28,0.1186,1.118,0.985,0.35,0.000126
N,28.36,0.3468,0.8417,0.550,3.04,0.00141
N,24.91,0.6814,2.075,0.661,2.99,0.00764
N,25.00,0.3111,1.288,0.887,16.70,0.0417
N,23.90,0.2086,1.344,1.063,18.27,0.172
N,24.90,0.4782,1.857,0.969,7.55,0.0284
N,21.51,0.2655,1.557,1.143,3.97,0.174
N,25.50,0.4139,1.675,0.982,3.68,0.00664
N,24.70,0.2511,1.445,1.083,6.12,0.117
N,22.80,0.2363,1.509,1.152,19.09,0.194
N,25.60,0.4177,1.689,0.983,7.43,0.0437
N,26.73,0.3102,1.345,0.928,32.57,0.00285
N,23.98,0.3040,1.436,0.999,11.81,0.0705
N,27.20,0.2324,1.253,0.962,5.15,0.00982
Y,20.53,0.6113,2.49,0.968,45.45,0.0231
N,27.93,0.0632,0.9802,0.918,3.51,0.000696
N,28.00,0.2348,1.041,0.797,3.37,0.0011
N,27.66,0.6729,1.47,0.481,8.19,0.000844
N,28.94,0.5573,2.058,0.911,12.56,0.00212
N,27.18,0.6034,2.488,0.987,3.11,0.00766
N,23.00,0.1670,1.523,1.269,18.72,0.35
N,25.60,0.3054,1.494,1.037,7.71,0.0473
N,25.70,0.1916,1.287,1.041,7.69,0.061
N,28.30,0.2369,1.29,0.984,8.92,0.00872
N,22.98,0.5902,2.515,1.031,4.05,0.0358
N,25.80,0.3347,1.495,0.995,2.79,0.0314
N,25.30,0.5065,2.146,1.059,8.06,0.0738
N,25.60,0.5819,2.483,1.038,5.11,0.0439
N,22.99,0.1980,1.325,1.063,26.17,0.138
N,27.70,0.5538,2.248,1.003,0.97,0.0156
N,22.90,0.7228,1.217,0.337,16.15,0.0474
N,25.30,0.3412,1.496,0.985,2.65,0.0331
N,23.60,0.2031,1.39,1.108,17.24,0.122
N,29.19,0.3060,1.021,0.709,4.00,0.0047
N,28.20,0.4272,1.573,0.901,7.94,0.00861
N,26.64,0.2770,1.31,0.947,3.52,0.0231
N,26.00,0.1950,1.276,1.028,15.55,0.084
N,26.70,0.5252,1.884,0.895,5.13,0.00908
N,27.20,0.2737,1.182,0.859,1.62,0.00332
N,27.47,0.5158,1.746,0.845,3.83,0.0141
N,28.07,0.6295,2.402,0.890,7.29,0.0132
N,27.80,0.7294,1.86,0.503,8.03,0.00205
N,26.20,0.2876,1.483,1.057,22.01,0.0677
N,26.80,0.3276,1.477,0.993,8.08,0.0466
N,25.10,0.2284,1.318,1.017,23.49,0.0702
N,23.85,0.4724,0.7962,0.420,24.43,0.109
N,24.90,0.1788,1.235,1.014,10.44,0.0779
N,27.80,0.3787,1.628,1.011,0.48,0.0243
N,29.70,0.1778,1.041,0.856,4.39,0.00308
N,23.20,0.7844,1.185,0.255,17.22,0.047
N,23.80,0.3336,1.448,0.965,9.45,0.0867
N,23.30,0.4958,2.532,1.277,2.52,0.291
N,19.95,0.7497,2.33,0.583,21.98,0.169
N,23.90,0.2199,1.282,1.000,21.80,0.0789
N,23.50,0.3892,1.206,0.737,21.62,0.0557
N,24.30,0.6599,1.812,0.616,8.58,0.00331
N,25.10,0.2261,1.419,1.098,29.00,0.112
N,20.66,0.3114,1.772,1.220,13.46,0.274
N,20.35,0.6810,1.776,0.567,11.17,0.183
N,23.14,0.0679,1.113,1.037,26.71,0.0652
N,23.47,0.4894,1.712,0.874,27.79,0.172
N,22.85,0.3458,1.73,1.132,7.72,0.157
N,24.69,0.4940,1.964,0.994,5.76,0.0225
N,26.20,0.4715,2.03,1.073,4.87,0.0861
N,28.87,0.3570,1.299,0.835,0.61,0.00312
N,27.83,0.3210,1.359,0.923,10.34,0.0105
N,26.30,0.6008,2.297,0.917,4.64,0.00997
N,26.95,0.5071,1.234,0.608,2.71,0.00256
N,21.54,0.6166,2.772,1.063,12.25,0.0626
N,22.15,0.3393,1.581,1.045,28.80,0.297
N,23.40,0.2587,1.418,1.051,28.95,0.0574
N,27.43,0.1431,0.9825,0.842,0.37,0.00215
N,21.42,0.4804,2.128,1.106,38.35,0.463
N,25.50,0.5588,1.566,0.691,3.97,0.00741
N,26.64,0.2570,1.263,0.938,18.67,0.00694
N,28.40,0.4191,1.64,0.953,6.69,0.00513
N,23.20,0.4087,1.092,0.646,11.44,0.0339
N,26.10,0.5808,2.286,0.958,3.31,0.00484
N,28.10,0.1397,1.157,0.996,4.99,0.0132
N,18.58,0.9343,2.13,0.140,55.26,0.273
N,25.80,0.3277,1.508,1.014,10.07,0.037
N,21.70,0.6722,1.439,0.472,42.71,0.273
N,25.50,0.4730,1.913,1.008,1.34,0.0247
N,27.60,0.1276,0.9343,0.815,3.49,0.00543
N,25.40,0.4835,1.427,0.737,4.24,0.00206
N,26.80,0.6434,2.779,0.991,1.74,0.0078
N,28.61,0.2030,0.908,0.724,10.17,3.52e-05
N,24.20,0.4489,1.95,1.074,3.72,0.0928
N,26.33,0.1239,1.09,0.955,8.79,0.0134
N,27.50,0.3782,1.214,0.755,6.98,0.00195
N,25.00,0.4224,0.782,0.452,6.08,0.0499
N,27.26,0.6158,2.469,0.948,1.83,0.00585
N,27.70,0.6011,1.669,0.666,4.33,0.00101
N,20.54,0.5451,2.752,1.252,42.67,0.354
N,26.70,0.5590,1.877,0.828,6.11,0.0182
N,27.50,0.1802,1.211,0.993,8.29,0.0289
N,29.23,0.4930,1.936,0.982,4.83,0.00108
N,24.00,0.3969,1.743,1.051,24.98,0.0733
N,25.20,0.6149,2.48,0.955,9.74,0.0203
N,27.60,0.5994,2.129,0.853,7.79,0.00238
N,22.90,0.6424,1.121,0.401,6.79,0.0347
N,23.80,0.3503,1.571,1.021,19.50,0.16
N,24.77,0.5912,2.119,0.866,7.36,0.039
N,25.10,0.5281,2.273,1.073,11.73,0.0906
N,25.20,0.6162,2.148,0.824,2.15,0.0105
N,24.60,0.6909,2.33,0.720,2.76,0.0138
N,27.40,0.2217,0.8318,0.647,4.96,0.012
N,26.59,0.2694,1.339,0.978,6.71,0.0425
N,25.20,0.2909,1.491,1.058,32.42,0.0691
N,23.43,0.2370,1.141,0.870,3.85,0.0229
N,24.30,0.4877,2.245,1.150,1.25,0.163
Y,21.08,0.2931,0.889,0.628,22.64,0.0324
N,23.50,0.4327,1.693,0.961,10.19,0.112
N,23.97,0.5673,0.8462,0.366,18.21,0.0808
N,23.70,0.4168,1.893,1.104,13.86,0.119
N,25.00,0.5997,1.607,0.643,12.60,0.00971
N,25.50,0.6359,2.576,0.938,1.97,0.00611
N,24.40,0.5569,2.276,1.008,3.61,0.0613
N,22.79,0.3148,1.027,0.704,14.01,0.184
N,27.70,0.6029,2.413,0.958,1.77,2.54e-05
N,21.09,0.5968,2.467,0.995,15.24,0.135
N,28.44,0.4474,1.3,0.718,1.11,0.000621
N,25.00,0.5325,2.008,0.939,0.48,0.00192
N,24.29,0.5384,2.19,1.011,2.61,0.0257
N,21.00,0.4814,2.244,1.164,5.36,0.181
N,25.40,0.4972,1.981,0.996,2.18,0.0259
N,26.10,0.6656,2.776,0.928,4.67,0.000771
N,27.60,0.1994,1.244,0.996,5.85,0.00949
N,27.60,0.4771,1.899,0.993,0.31,0.00713
N,28.21,0.3841,1.599,0.985,0.52,0.00111
Y,21.64,0.6015,2.515,1.002,7.61,0.0127
N,25.20,0.2618,1.121,0.828,19.82,0.00092
N,23.00,0.5437,2.448,1.117,42.80,0.133
N,25.60,0.3526,1.567,1.015,7.00,0.0408
N,24.50,0.2238,1.159,0.900,14.63,0.0278
N,25.00,0.4099,0.7971,0.470,3.43,0.01
N,27.40,0.4200,1.416,0.821,6.28,0.000553
N,25.84,0.3526,1.464,0.948,1.67,0.0212
N,24.20,0.5529,1.993,0.891,2.51,0.017
N,24.16,0.4301,1.669,0.951,3.71,0.0542
N,27.50,0.1585,0.9234,0.777,3.90,0.0111
N,19.96,0.5406,2.678,1.230,26.99,0.438
N,23.80,0.2626,1.373,1.013,26.99,0.14
N,21.16,0.2695,1.672,1.221,13.41,0.34
N,23.60,0.0738,1.348,1.248,27.40,0.265
N,26.20,0.0286,1.02,0.991,1.70,0.0245
N,26.90,0.4610,1.868,1.007,2.04,0.0157
N,28.70,0.7215,2.526,0.703,0.07,6.03e-06
N,23.50,0.1363,1.224,1.057,3.43,0.0738
N,22.30,0.8167,2.443,0.448,9.39,0.0348
N,23.70,0.2184,1.03,0.805,35.91,0.101
N,22.00,0.5013,2.386,1.190,22.72,0.253
N,24.59,0.4883,1.952,0.999,7.39,0.0286
N,19.89,0.5752,2.848,1.210,31.12,0.224
N,27.40,0.0972,1.106,0.999,9.45,0.0106
N,20.05,0.3419,1.886,1.241,6.68,0.278
N,21.44,0.4645,1.457,0.780,7.44,0.115
N,26.10,0.3763,1.668,1.040,9.20,0.0599
Y,20.16,0.4767,1.768,0.925,38.67,0.00932
N,22.89,0.6130,2.402,0.930,4.48,0.017
N,24.45,0.3196,0.8426,0.573,10.79,0.0376
N,27.10,0.5340,2.065,0.962,18.32,0.0066
N,26.50,0.5099,1.421,0.697,18.79,0.00459
N,25.30,0.4442,1.427,0.793,7.13,0.00117
N,21.30,0.8475,2.85,0.435,19.64,0.0706
N,20.40,0.3718,1.041,0.654,45.24,0.353
N,23.40,0.7136,2.742,0.785,4.10,0.00259
N,24.99,0.7565,2.082,0.507,2.57,0.0134
N,27.50,0.4058,1.607,0.955,1.67,0.0107
N,21.90,0.4143,1.711,1.002,34.36,0.106
N,22.10,0.5762,2.697,1.143,24.85,0.158
N,27.20,0.5544,1.925,0.858,3.38,0.00647
N,20.00,0.6295,2.8,1.037,32.77,0.179
N,23.70,0.4474,1.708,0.944,23.40,0.0174
N,22.33,0.5830,2.457,1.025,18.07,0.151
N,25.10,0.5994,1.938,0.776,7.74,0.014
N,24.60,0.6609,2.809,0.952,4.50,0.014
Y,21.05,0.3061,1.343,0.932,23.02,0.0128
N,22.80,0.6079,2.904,1.139,6.03,0.18
N,23.10,0.5319,2.255,1.055,10.78,0.141
N,24.70,0.3336,1.327,0.885,5.08,0.0326
N,26.90,0.5733,1.99,0.849,5.39,0.00816
N,21.80,0.5357,2.28,1.058,9.23,0.166
N,28.10,0.1421,1.136,0.974,6.71,0.00821
N,26.59,0.3419,1.442,0.949,1.76,0.00718
Y,20.22,0.6144,2.472,0.953,20.50,0.00065
N,22.46,0.1939,1.4,1.129,16.83,0.147
N,25.25,0.2901,1.48,1.051,12.72,0.0666
N,23.40,0.0682,1.069,0.996,14.21,0.0199
N,24.20,0.5510,2.251,1.011,6.07,0.0909
N,26.60,0.4231,1.765,1.018,6.58,0.033
N,23.16,0.3234,0.9159,0.620,48.79,0.0837
N,25.00,0.3260,1.445,0.974,7.74,0.0249
N,18.85,0.5844,2.768,1.151,63.74,0.168
N,18.71,0.4962,2.566,1.293,40.36,0.317
N,19.55,0.5025,2.557,1.272,26.66,0.483
N,23.01,0.4775,0.7504,0.392,27.62,0.0929
N,24.60,0.2285,1.383,1.067,10.17,0.116
N,25.80,0.1919,1.259,1.017,3.02,0.0334
N,25.00,0.3124,1.154,0.793,13.25,0.0107
N,18.86,0.5495,1.509,0.680,58.66,0.32
N,23.30,0.3506,0.8768,0.569,35.18,0.0989
N,28.00,0.4018,1.689,1.010,5.25,0.0228
N,25.60,0.0865,0.9477,0.866,17.25,0.0232
N,26.85,0.4826,1.849,0.957,5.65,0.015
N,27.80,0.4263,1.656,0.950,0.65,0.00665
N,26.21,0.1667,1.045,0.871,6.66,0.00471
N,27.40,0.3018,1.457,1.017,11.29,0.0314
N,26.60,0.4221,1.395,0.806,3.25,0.00362
N,28.90,0.2626,1.283,0.946,1.35,0.00346
N,23.40,0.2446,1.428,1.079,26.06,0.103
N,25.00,0.6035,2.821,1.119,5.51,0.133
N,20.92,0.3551,1.892,1.220,8.24,0.237
N,22.68,0.3397,1.47,0.971,5.89,0.0872
N,22.10,0.4952,1.749,0.883,10.06,0.0282
N,26.50,0.4980,1.958,0.983,10.90,0.023
N,26.00,0.4918,1.926,0.979,4.20,0.0139
N,26.60,0.5590,1.873,0.826,0.57,0.00799
N,27.79,0.1722,0.8686,0.719,0.80,0.0055
N,26.60,0.4715,1.872,0.989,6.04,0.0124
N,24.50,0.2545,1.427,1.064,9.62,0.0821
N,21.80,0.2938,1.786,1.261,34.77,0.28
N,21.80,0.6370,3.402,1.235,20.17,0.273
N,28.90,0.6055,1.992,0.786,9.79,0.000413
N,24.36,0.3399,1.121,0.740,6.15,0.00183
Y,21.78,0.4948,2.02,1.020,5.72,0.0392
N,20.51,0.4506,2.235,1.228,22.64,0.314
N,20.12,0.2150,1.424,1.118,34.93,0.228
N,22.20,0.8094,1.829,0.349,26.64,0.0435
N,24.00,0.5872,2.324,0.959,11.06,0.0537
N,27.78,0.3525,1.384,0.896,4.88,0.00113
N,27.75,0.2533,1.235,0.922,1.05,0.00232
Y,21.40,0.6134,2.376,0.919,16.82,0.0327
Y,20.19,0.7042,2.834,0.838,15.63,0.025
N,27.96,0.3772,1.173,0.731,0.17,0.00129
N,20.26,0.5712,1.778,0.762,25.95,0.228
N,20.78,0.5555,2.609,1.160,40.97,0.191
N,22.25,0.3904,1.601,0.976,12.40,0.018
Y,18.70,0.1017,1.059,0.951,41.48,0.0396
N,20.27,0.6755,2.338,0.759,24.07,0.105
N,28.74,0.0836,1.091,1.000,1.47,0.015
N,26.30,0.4985,1.967,0.987,3.96,0.0113
N,20.19,0.4516,2.223,1.219,21.61,0.347
N,21.21,0.3645,2.035,1.293,8.67,0.313
N,23.50,0.4180,1.762,1.025,25.60,0.0454
N,25.20,0.6208,2.505,0.950,10.89,0.00353
N,29.04,0.1091,0.9363,0.834,2.53,0.000825
N,25.56,0.6029,2.486,0.987,5.55,0.0215
N,26.24,0.7794,2.517,0.555,2.48,0.000492
N,26.84,0.0958,0.9149,0.827,4.38,0.000739
N,28.14,0.3639,0.9207,0.586,1.25,0.00218
N,24.59,0.5141,2.026,0.984,8.49,0.0142
N,25.30,0.3167,1.459,0.997,9.84,0.056
N,24.72,0.5318,2.276,1.066,8.17,0.0849
N,23.80,0.4299,1.713,0.976,22.32,0.129
N,22.13,0.3192,1.721,1.172,23.36,0.299
N,24.60,0.5821,2.019,0.844,6.02,0.0105
N,24.00,0.4620,1.078,0.580,7.77,0.0117
Y,21.88,0.4984,2.003,1.004,3.59,0.0458
Y,21.45,0.6522,1.932,0.672,16.67,0.0215
N,21.22,0.3840,1.293,0.797,51.43,0.0797
N,22.96,0.2120,1.11,0.874,24.82,0.0171
N,23.89,0.2100,1.327,1.048,13.20,0.105
N,24.80,0.3422,1.514,0.996,1.74,0.0118
N,26.60,0.2417,1.146,0.869,10.02,0.00955
N,25.31,0.4284,1.768,1.010,2.25,0.0356
N,26.10,0.5537,2.248,1.003,0.70,0.0141
N,26.30,0.5785,2.373,1.000,2.36,0.0141
N,27.00,0.3331,1.478,0.986,7.98,0.0129
N,27.10,0.3776,1.63,1.015,2.34,0.0273
N,26.68,0.3869,1.596,0.978,12.45,0.00159
N,21.73,0.2813,1.615,1.160,51.93,0.183
N,21.80,0.2956,1.273,0.897,50.31,0.088
N,22.98,0.5822,2.031,0.848,0.76,0.00612
N,23.38,0.2137,1.384,1.088,7.47,0.121
N,30.60,0.3989,1.633,0.982,3.39,0.00032
N,28.40,0.1375,1.124,0.969,11.45,0.00374
N,21.52,0.3306,0.8235,0.551,34.41,0.0645
N,19.67,0.5282,2.618,1.235,36.77,0.342
N,23.80,0.6670,2.133,0.710,8.57,0.00287
N,24.30,0.3170,1.107,0.756,22.91,0.0979
N,25.64,0.7130,2.063,0.592,2.03,0.0139
N,23.80,0.4658,0.8112,0.433,35.30,0.0702
N,23.80,0.1177,1.397,1.233,28.34,0.267
N,24.90,0.2180,1.438,1.124,28.86,0.167
N,22.24,0.3361,1.948,1.293,14.56,0.307
N,24.99,0.2217,1.186,0.923,7.14,0.0166
N,26.05,0.5582,1.763,0.779,2.44,0.0147
N,21.50,0.2646,1.747,1.285,26.25,0.31
N,24.30,0.1719,1.393,1.153,22.44,0.18
N,24.29,0.4876,2.277,1.167,2.99,0.185
N,25.30,0.1548,1.33,1.124,20.00,0.14
N,27.90,0.3204,1.305,0.887,16.63,0.000355
N,27.10,0.1921,0.9522,0.769,1.04,0.00488
N,24.30,0.5772,2.524,1.067,8.96,0.0922
N,23.20,0.4475,1.438,0.794,26.85,0.0421
N,24.00,0.3633,1.473,0.938,10.65,0.116
N,19.71,0.7821,2.273,0.495,17.77,0.268
N,23.38,0.6121,2.073,0.804,3.74,0.0211
N,24.80,0.3698,1.385,0.873,2.38,0.0149
N,22.12,0.2848,1.028,0.735,15.82,0.00723
N,22.70,0.4010,1.294,0.775,41.91,0.0358
N,21.25,0.4474,1.903,1.052,4.71,0.0954
N,24.90,0.6150,2.589,0.997,9.78,0.0513
N,24.75,0.2403,1.223,0.929,2.04,0.0141
N,23.42,0.6319,2.799,1.030,6.13,0.0541
N,25.00,0.2687,1.457,1.065,1.85,0.0881
N,23.20,0.3248,1.809,1.222,6.08,0.241
N,22.30,0.4688,1.672,0.888,7.81,0.00151
